ID,Typ cery,Wra¿liwa,G³ówny problem,Poboczny problem,Wiek,Mycie,Serum na dzieñ,Krem na dzieñ,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
77,T³usta,1,Niedoskona³oœci,Przebarwienia,20,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Kremowa kuracja nawil¿aj¹co-naprawcza,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
78,Mieszana,1,Niedoskona³oœci,Podra¿nienie,17,Cetaphil - Pro Oil Control - Oczyszczaj¹ca Pianka do Mycia Skóry T³ustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
79,T³usta,1,Niedoskona³oœci,Przebarwienia,20,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,To³pa - Dermo Face Strefa T - Matuj¹cy Krem-¯el Nawil¿aj¹cy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
80,Mieszana,1,Niedoskona³oœci,Podra¿nienie,21,Cetaphil - Pro Oil Control - Oczyszczaj¹ca Pianka do Mycia Skóry T³ustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
81,Normalna,1,Podra¿nienie,Brak,20,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
82,Mieszana,1,Podra¿nienie,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
83,Mieszana,0,Podra¿nienie,Brak,20,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawil¿aj¹cy Krem do Twarzy,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,CeraVe Nawil¿aj¹cy Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
84,Normalna,0,Podra¿nienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
85,Mieszana,1,Podra¿nienie,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
86,Mieszana,0,Podra¿nienie,Brak,24,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawil¿aj¹cy Krem do Twarzy,Floslek SUN CARE Krem-¿el anti-spot SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,CeraVe Nawil¿aj¹cy Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
87,T³usta,1,Przebarwienia,Niedoskona³oœci,17,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
88,Sucha,1,Przebarwienia,Brak,20,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
89,Normalna,0,Przebarwienia,Brak,17,CeraVe Nawil¿aj¹ca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
90,Sucha,1,Przebarwienia,Brak,20,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
91,Normalna,0,Przebarwienia,Podra¿nienie,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
92,T³usta,1,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
93,T³usta,1,Rozszerzone pory,Przebarwienia,19,BIELENDA CBD Cannabidiol,MIYA Serum z witamin¹ C na przebarwienia,To³pa - Authentic - Krem Matowa Skóra,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
94,Sucha,1,Suche skórki,Szara cera,24,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Kremowa kuracja nawil¿aj¹co-naprawcza,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,Brak
95,Normalna,0,Szara cera,Brak,18,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,CeraVe Nawil¿aj¹cy Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
96,Sucha,1,Szara cera,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CETAPHIL MD DERMOPROTEKTOR,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
97,Sucha,1,Widoczne naczynka,Brak,20,¯el To³pa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawil¿aj¹cy Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
98,Normalna,1,Widoczne naczynka,Brak,21,CeraVe Nawil¿aj¹ca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJ¥CY ZACZERWIENIENIA KREM NA DZIEÑ,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
99,Sucha,1,Widoczne naczynka,Brak,20,¯el To³pa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawil¿aj¹cy Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
100,Normalna,1,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJ¥CY ZACZERWIENIENIA KREM NA DZIEÑ,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
101,T³usta,0,Nadprodukcja sebum,Niedoskona³oœci,21,CeraVe Wyg³adzaj¹cy ¯el do Mycia,Revox Just Niacinamide 10%,CeraVe Nawil¿aj¹cy Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
102,Mieszana,1,Nadprodukcja sebum,Niedoskona³oœci,20,CeraVe Wyg³adzaj¹cy ¯el do Mycia,Revox Just Niacinamide 10%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
103,Mieszana,1,Nadprodukcja sebum,Niedoskona³oœci,20,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
104,T³usta,0,Niedoskona³oœci,Przebarwienia,20,Neutrogena Visibly Clear Clear & Defend Facial Wash,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,To³pa - Dermo Face Strefa T - Matuj¹cy Krem-¯el Nawil¿aj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,TO£PA DERMO FACE SEBIO peeling 3 enzymy
105,Mieszana,0,Niedoskona³oœci,Podra¿nienie,17,Cetaphil - Pro Oil Control - Oczyszczaj¹ca Pianka do Mycia Skóry T³ustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
106,T³usta,0,Niedoskona³oœci,Brak,20,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,To³pa - Dermo Face Strefa T - Matuj¹cy Krem-¯el Nawil¿aj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Acnederm,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,TO£PA DERMO FACE SEBIO peeling 3 enzymy
107,Mieszana,0,Niedoskona³oœci,Podra¿nienie,21,Cetaphil - Pro Oil Control - Oczyszczaj¹ca Pianka do Mycia Skóry T³ustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Acnederm,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,Brak
108,Normalna,0,Podra¿nienie,Brak,20,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Brak,Mediheal NMF Aquaring Ampoule Mask EX,Brak
109,Mieszana,0,Podra¿nienie,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Brak,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
110,Mieszana,0,Podra¿nienie,Brak,20,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawil¿aj¹cy Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Brak,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
111,Normalna,0,Podra¿nienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Maœæ z witamin¹ A,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
112,Mieszana,1,Podra¿nienie,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Brak,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
