ID,Typ cery,Wra¿liwa,G³ówny problem,Poboczny problem,Wiek,Mycie,Serum na dzieñ,Krem na dzieñ,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
113,Mieszana,0,Podra¿nienie,Brak,24,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawil¿aj¹cy Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Brak,Mediheal NMF Aquaring Ampoule Mask EX,Brak
114,T³usta,1,Niedoskona³oœci,Brak,17,BIELENDA CBD Cannabidiol,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Acnederm,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
115,Sucha,1,Przebarwienia,Brak,20,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Brak,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
116,Normalna,0,Przebarwienia,Brak,17,CeraVe Nawil¿aj¹ca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Brak,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,TO£PA DERMO FACE SEBIO peeling 3 enzymy
117,Sucha,1,Przebarwienia,Brak,20,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Brak,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
118,Normalna,0,Przebarwienia,Podra¿nienie,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Brak,Mediheal NMF Aquaring Ampoule Mask EX,Brak
119,T³usta,0,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
120,T³usta,0,Rozszerzone pory,Przebarwienia,22,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witamin¹ C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Brak,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
121,Sucha,0,Suche skórki,Szara cera,24,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witamin¹ C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Hydraliane,Maœæ z witamin¹ A,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
122,Normalna,0,Szara cera,Brak,18,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,CeraVe Nawil¿aj¹cy Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,CeraVe Nawil¿aj¹cy Krem do Twarzy,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,TO£PA DERMO FACE SEBIO peeling 3 enzymy
123,Sucha,1,Szara cera,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,MIYA Serum z witamin¹ C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,SVR Hydraliane,Maœæ z witamin¹ A,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
124,Sucha,1,Widoczne naczynka,Brak,17,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJ¥CY ZACZERWIENIENIA KREM NA DZIEÑ,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,SVR Sensifine AR,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
125,Normalna,1,Niedoskona³oœci,Brak,21,CeraVe Nawil¿aj¹ca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJ¥CY ZACZERWIENIENIA KREM NA DZIEÑ,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,SVR Sensifine AR,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
126,Sucha,1,Widoczne naczynka,Brak,24,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJ¥CY ZACZERWIENIENIA KREM NA DZIEÑ,Uriage Roseliane SPF30 krem do cery naczynkowej,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,SVR Sensifine AR,Maœæ z witamin¹ A,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
127,Normalna,1,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJ¥CY ZACZERWIENIENIA KREM NA DZIEÑ,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,SVR Sensifine AR,Maœæ z witamin¹ A,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
128,T³usta,1,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,TO£PA DERMO FACE SEBIO peeling 3 enzymy
129,T³usta,0,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,TO£PA DERMO FACE SEBIO peeling 3 enzymy
130,T³usta,0,Podra¿nienie,Brak,24,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawil¿aj¹cy Krem do Twarzy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,CeraVe Nawil¿aj¹cy Krem do Twarzy,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
131,T³usta,1,Niedoskona³oœci,Podra¿nienie,17,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Dermedic Melumin,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
132,Sucha,1,Przebarwienia,Podra¿nienie,20,BIELENDA CBD Cannabidiol,MIYA Serum z witamin¹ C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Dermedic Melumin,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
133,Normalna,0,Przebarwienia,Podra¿nienie,17,BIELENDA CBD Cannabidiol,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Dermedic Melumin,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,TO£PA DERMO FACE SEBIO peeling 3 enzymy
134,Sucha,1,Przebarwienia,Podra¿nienie,20,BIELENDA CBD Cannabidiol,MIYA Serum z witamin¹ C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawil¿aj¹ca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Dermedic Melumin,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
135,Normalna,0,Przebarwienia,Brak,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witamin¹ C na przebarwienia,Bielenda Professional SupremeLAB Energetyzuj¹co-Nawil¿aj¹cy Krem z Witamin¹ C,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Dermedic Melumin,Brak,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
136,T³usta,0,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,TO£PA DERMO FACE SEBIO peeling 3 enzymy
137,T³usta,0,Rozszerzone pory,Przebarwienia,18,BIELENDA CBD Cannabidiol,MIYA Serum z witamin¹ C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
138,Sucha,0,Suche skórki,Szara cera,24,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witamin¹ C na przebarwienia,CeraVe Nawil¿aj¹cy Krem do Twarzy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Maœæ z witamin¹ A,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
139,Normalna,0,Szara cera,Brak,18,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,CeraVe Nawil¿aj¹cy Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,CeraVe Nawil¿aj¹cy Krem do Twarzy,Brak,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
140,Sucha,0,Szara cera,Suche skórki,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,MIYA Serum z witamin¹ C na przebarwienia,CETAPHIL MD DERMOPROTEKTOR,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,SVR Hydraliane,Maœæ z witamin¹ A,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
141,Sucha,0,Widoczne naczynka,Brak,16,Vianek Nawil¿aj¹ca Emulsja Myj¹ca do Twarzy,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawil¿aj¹cy Krem do Twarzy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,SVR Sensifine AR,Brak,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
142,Normalna,0,Niedoskona³oœci,Brak,21,CeraVe Nawil¿aj¹ca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJ¥CY ZACZERWIENIENIA KREM NA DZIEÑ,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,SVR Sensifine AR,Acnederm,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,Brak
143,Sucha,0,Widoczne naczynka,Brak,20,¯el To³pa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawil¿aj¹cy Krem do Twarzy,Revox Just Daily Sun Krem przeciws³oneczny SPF50,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy,SVR Sensifine AR,Maœæ z witamin¹ A,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
144,Normalna,0,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,BIELENDA CERA NACZYNKOWA REDUKUJ¥CY ZACZERWIENIENIA KREM NA DZIEÑ,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Maœæ z witamin¹ A,Bielenda Hydra Boost nawil¿aj¹ce serum do twarzy + SKIN79 Nawil¿aj¹ca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawil¿aj¹cy
145,T³usta,0,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
146,T³usta,1,Rozszerzone pory,Brak,18,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
147,Normalna,0,Szara cera,Widoczne naczynka,18,¯el To³pa Dermo Face Physio,MIYA Serum z witamin¹ C na przebarwienia,CeraVe Nawil¿aj¹cy Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,CeraVe Nawil¿aj¹cy Krem do Twarzy,Brak,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
148,T³usta,1,Rozszerzone pory,Nadprodukcja sebum,18,Pharmaceris T Puri-Sebogel - antybakteryjny ¿el myj¹cy do twarzy,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,TO£PA DERMO FACE SEBIO peeling 3 enzymy
149,T³usta,0,Nadprodukcja sebum,Brak,21,Cosrx - Low pH Good Morning Gel Cleanser - £agodny ¯el do Mycia Twarzy,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,Cetaphil - Pro Oil Control SPF30 - Krem Nawil¿aj¹co-Matuj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,CeraVe Nawil¿aj¹cy Krem do Twarzy,Acnederm,The Ordinary - Salicylic Acid 2% Masque - Maska Glinkowo-Wêglowa z 2% Kwasem Salicylowym,Brak
150,T³usta,1,Nadprodukcja sebum,Brak,22,Cetaphil - Pro Oil Control - Oczyszczaj¹ca Pianka do Mycia Skóry T³ustej i Mieszanej ,To³pa - Pre Age - Matuj¹ce Serum Normalizuj¹ce - 20ml,Bandi - Delicate Care - Koj¹cy Krem Matuj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
151,T³usta,0,Nadprodukcja sebum,Niedoskona³oœci,18,Cetaphil - Pro Oil Control - Oczyszczaj¹ca Pianka do Mycia Skóry T³ustej i Mieszanej ,REVOX JUST niacynamid 10%,To³pa - Authentic - Krem Matowa Skóra,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,TO£PA DERMO FACE STREFA T nawil¿aj¹ce serum-booster,To³pa Authentic Nawil¿ona Skóra,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,APIS Maska Œci¹gaj¹co-Wyg³adzaj¹ca z Bia³¹ Glink¹ i Cynkiem,TO£PA DERMO FACE SEBIO peeling 3 enzymy
152,T³usta,0,Nadprodukcja sebum,Brak,18,Neutrogena Visibly Clear Clear & Defend Facial Wash,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,To³pa - Authentic - Krem Matowa Skóra,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,TO£PA DERMO FACE STREFA T nawil¿aj¹ce serum-booster,CeraVe Nawil¿aj¹cy Krem do Twarzy,Acnederm,The Ordinary - Salicylic Acid 2% Masque - Maska Glinkowo-Wêglowa z 2% Kwasem Salicylowym,Brak
153,T³usta,1,Nadprodukcja sebum,Brak,19,Neutrogena Visibly Clear Clear & Defend Facial Wash,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witamin¹ B3 i Cynkiem,To³pa - Dermo Face Strefa T - Matuj¹cy Krem-¯el Nawil¿aj¹cy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,Eveline Cosmetics Beauty & Glow Matuj¹ce Serum z Probiotykami,Bielenda Professional SupremeLAB Barrier Renew Od¿ywczy Krem na Noc z Ceramidami,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Bia³a Glinka do Twarzy Kaolin,Brak
154,Mieszana,1,Niedoskona³oœci,Rozszerzone pory,24,Neutrogena Visibly Clear Clear & Defend Facial Wash,REVOX JUST niacynamid 10%,To³pa - Authentic - Krem Matowa Skóra,Skin79 Waterproof Sun Gel Krem ochronny SPF50,BasicLab Serum Zmniejszaj¹ce Niedoskona³oœci Z Niacynamidem 5% Redukcja i Zwê¿enie,Bandi Medical Expert Anti Dry Kremowa kuracja nawil¿aj¹co-naprawcza,Bandi - Sebo Care - Pasta Punktowa na Niedoskona³oœci z Kalamin¹,Benton Goodbye Redness Centella £agodz¹ca Maska w P³acie,BANDI ANTI ACNE antytr¹dzikowy peeling kwasowy do twarzy
