ID,Typ cery,Wrażliwa,Główny problem,Poboczny problem,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
1,Tłusta,0,Nadprodukcja sebum,Niedoskonałości,17,Neutrogena Visibly Clear Clear & Defend Facial Wash,Revox Just Niacinamide 10%,Tołpa - Authentic - Krem Matowa Skóra,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,Brak
2,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
3,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
4,Tłusta,1,Niedoskonałości,Przebarwienia,20,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi - Delicate Care - Kojący Krem Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+/PA++++,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
5,Mieszana,1,Niedoskonałości,Podrażnienie,17,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
6,Tłusta,1,Niedoskonałości,Przebarwienia,20,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
7,Mieszana,1,Niedoskonałości,Podrażnienie,21,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
8,Normalna,1,Podrażnienie,Brak,20,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
9,Mieszana,1,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
10,Mieszana,0,Podrażnienie,Brak,20,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Floslek SUN CARE Krem-żel anti-spot SPF 50,Brak,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
11,Normalna,0,Podrażnienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
12,Mieszana,1,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
13,Mieszana,0,Podrażnienie,Brak,24,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Floslek SUN CARE Krem-żel anti-spot SPF 50,Brak,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
14,Tłusta,1,Przebarwienia,Niedoskonałości,17,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
15,Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
16,Normalna,0,Przebarwienia,Brak,17,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
17,Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
18,Normalna,0,Przebarwienia,Podrażnienie,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,Brak,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
19,Tłusta,1,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
20,Tłusta,1,Rozszerzone pory,Przebarwienia,18,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,Brak,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
21,Sucha,0,Suche skórki,Szara cera,24,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
22,Normalna,0,Szara cera,Brak,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
23,Sucha,1,Szara cera,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
24,Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
25,Normalna,1,Widoczne naczynka,Brak,21,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
26,Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,Brak,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
27,Normalna,1,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
28,Tłusta,0,Nadprodukcja sebum,Niedoskonałości,21,CeraVe SA Wygładzający Żel do Mycia,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bandi - Delicate Care - Kojący Krem Matujący,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Professional SupremeLAB Microbiome Ratunkowa Maseczka,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
29,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,CeraVe SA Wygładzający Żel do Mycia,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
30,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
31,Tłusta,0,Niedoskonałości,Przebarwienia,20,Neutrogena Visibly Clear Clear & Defend Facial Wash,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
32,Mieszana,0,Niedoskonałości,Podrażnienie,17,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
33,Tłusta,0,Niedoskonałości,Brak,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin
34,Mieszana,0,Niedoskonałości,Podrażnienie,21,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Brak,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Brak
35,Normalna,0,Podrażnienie,Brak,20,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
36,Mieszana,0,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
37,Mieszana,0,Podrażnienie,Brak,20,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Floslek SUN CARE Krem-żel anti-spot SPF 50,Brak,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
38,Normalna,0,Podrażnienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
